NCAA,Rich Kern,Volleymetrics,Conference_2019,Conference_2020
Charlotte,Charlotte,University of North Carolina at Charlotte,Conference USA,C-USA
Chattanooga,Chattanooga,University of Tennessee at Chattanooga,Southern,SoCon
Chicago St.,Chicago State,Chicago State University,Western Athletic,WAC
Cincinnati,Cincinnati,University of Cincinnati,American Athletic,AAC
Clemson,Clemson,Clemson University,Atlantic Coast,ACC
Cleveland St.,Cleveland State,Cleveland State University,Horizon League,Horizon
Coastal Carolina,Coastal Carolina,Coastal Carolina University,Sun Belt,Sun Belt
Col. Of Charleston,College of Charleston,College of Charleston,Colonial Athletic Association,CAA
Colgate,Colgate,Colgate University,Patriot,Patriot
Colorado,Colorado,"University of Colorado, Boulder",Pac-12,Pac-12
Colorado St.,Colorado State,Colorado State University,Mountain West,Mountain West
Columbia,Columbia,Columbia University,Ivy League,Ivy League
Coppin St.,Coppin State,Coppin State University,Mid-Eastern Athletic,MEAC
Cornell,Cornell,Cornell University,Ivy League,Ivy League
Creighton,Creighton,Creighton University,Big East,Big East
CSU Bakersfield,CSU Bakersfield,"California State University, Bakersfield",Western Athletic,Big West
CSUN,Cal State Northridge,"California State University, Northridge",Big West,Big West
Dartmouth,Dartmouth,Dartmouth College,Ivy League,Ivy League
Davidson,Davidson,Davidson College,Atlantic 10,Atlantic 10
Dayton,Dayton,University of Dayton,Atlantic 10,Atlantic 10
Delaware,Delaware,University of Delaware,Colonial Athletic Association,CAA
Delaware St.,Delaware State,Delaware State University,Mid-Eastern Athletic,MEAC
Denver,Denver,University of Denver,The Summit League,Summit League
DePaul,DePaul,DePaul University,Big East,Big East
Drake,Drake,Drake University,Missouri Valley,MVC
Duke,Duke,Duke University,Atlantic Coast,ACC
Duquesne,Duquesne,Duquesne University,Atlantic 10,Atlantic 10
East Carolina,East Carolina,East Carolina University,American Athletic,AAC
Eastern Ill.,Eastern Illinois,Eastern Illinois University,Ohio Valley,OVC
Eastern Ky.,Eastern Kentucky,Eastern Kentucky University,Ohio Valley,OVC
Eastern Mich.,Eastern Michigan,Eastern Michigan University,Mid-American,MAC
Eastern Wash.,Eastern Washington,Eastern Washington University,Big Sky,Big Sky
Elon,Elon,Elon University,Colonial Athletic Association,CAA
ETSU,East Tennessee State,East Tennessee State University,Southern,SoCon
Evansville,Evansville,University of Evansville,Missouri Valley,MVC
Fairfield,Fairfield,Fairfield University,Metro Atlantic Athletic,MAAC
Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson University,Northeast,NEC
FGCU,Florida Gulf Coast,Florida Gulf Coast University,Atlantic Sun,ASUN
FIU,Florida International,Florida International University,Conference USA,C-USA
Fla. Atlantic,Florida Atlantic,Florida Atlantic University,Conference USA,C-USA
Florida,Florida,University of Florida,Southeastern,SEC
Florida A&M,Florida A&M,Florida A&M University,Mid-Eastern Athletic,SWAC
Florida St.,Florida State,Florida State University,Atlantic Coast,ACC
Fordham,Fordham,Fordham University,Atlantic 10,Atlantic 10
Fresno St.,Fresno State,"California State University, Fresno",Mountain West,Mountain West
Furman,Furman,Furman University,Southern,SoCon
Ga. Southern,Georgia Southern,Georgia Southern University,Sun Belt,Sun Belt
